date,symbol,expiration,dte,option_type,strike,bid,ask,mid,delta,gamma,theta,vega,iv,open_interest,volume
2025-03-10,SPY,2025-03-14,4,call,490.0,30.09,31.31,30.7,0.9999,6e-05,-0.0006,0.2793,16.0,100,25
2025-03-10,SPY,2025-03-14,4,put,490.0,0.01,0.02,0.01,-0.0001,6e-05,-0.0006,0.2793,16.0,100,25
2025-03-10,SPY,2025-03-14,4,call,495.0,25.19,26.22,25.7,0.9988,0.00046,-0.0044,2.106,16.0,100,25
2025-03-10,SPY,2025-03-14,4,put,495.0,0.01,0.02,0.01,-0.0012,0.00046,-0.0044,2.106,16.0,100,25
2025-03-10,SPY,2025-03-14,4,call,500.0,20.31,21.14,20.73,0.9925,0.00239,-0.0227,10.8383,16.0,100,25
2025-03-10,SPY,2025-03-14,4,put,500.0,0.02,0.02,0.02,-0.0075,0.00239,-0.0227,10.8383,16.0,100,25
2025-03-10,SPY,2025-03-14,4,call,505.0,15.5,16.13,15.81,0.9668,0.00848,-0.0806,38.4894,16.0,814,203
2025-03-10,SPY,2025-03-14,4,put,505.0,0.11,0.12,0.11,-0.0332,0.00848,-0.0806,38.4894,16.0,488,122
2025-03-10,SPY,2025-03-14,4,call,510.0,10.92,11.37,11.14,0.894,0.02099,-0.1996,95.3422,16.0,5097,1274
2025-03-10,SPY,2025-03-14,4,put,510.0,0.44,0.46,0.45,-0.106,0.02099,-0.1996,95.3422,16.0,3058,764
2025-03-10,SPY,2025-03-14,4,call,515.0,6.89,7.17,7.03,0.7471,0.03666,-0.3485,166.4619,16.0,15920,3980
2025-03-10,SPY,2025-03-14,4,put,515.0,1.31,1.36,1.33,-0.2529,0.03666,-0.3485,166.4619,16.0,9552,2388
2025-03-10,SPY,2025-03-14,4,call,520.0,3.76,3.91,3.83,0.5353,0.04556,-0.4332,206.9139,16.0,24830,6207
2025-03-10,SPY,2025-03-14,4,put,520.0,3.08,3.2,3.14,-0.4647,0.04556,-0.4332,206.9139,16.0,14898,3724
2025-03-10,SPY,2025-03-14,4,call,525.0,1.72,1.79,1.75,0.3147,0.04071,-0.3871,184.8911,16.0,19337,4834
2025-03-10,SPY,2025-03-14,4,put,525.0,5.94,6.18,6.06,-0.6853,0.04071,-0.3871,184.8911,16.0,11602,2900
2025-03-10,SPY,2025-03-14,4,call,530.0,0.64,0.67,0.66,0.1472,0.0264,-0.251,119.8825,16.0,7520,1880
2025-03-10,SPY,2025-03-14,4,put,530.0,9.76,10.16,9.96,-0.8528,0.0264,-0.251,119.8825,16.0,4512,1128
2025-03-10,SPY,2025-03-14,4,call,535.0,0.19,0.2,0.2,0.0538,0.01253,-0.1192,56.9155,16.0,1460,365
2025-03-10,SPY,2025-03-14,4,put,535.0,14.21,14.79,14.5,-0.9462,0.01253,-0.1192,56.9155,16.0,876,219
2025-03-10,SPY,2025-03-14,4,call,540.0,0.05,0.05,0.05,0.0152,0.00439,-0.0418,19.9585,16.0,141,35
2025-03-10,SPY,2025-03-14,4,put,540.0,18.96,19.73,19.34,-0.9848,0.00439,-0.0418,19.9585,16.0,100,25
