symbol,expiration,dte,option_type,strike,bid,ask,mid,delta,gamma,theta,vega,iv,oi,volume
QQQ,2026-04-01,10,put,428,0.52,0.56,0.54,-0.10,0.008,-0.09,0.16,0.22,7000,450
QQQ,2026-04-01,10,put,432,0.82,0.86,0.84,-0.15,0.013,-0.14,0.22,0.22,8500,600
QQQ,2026-04-01,10,put,435,1.18,1.22,1.20,-0.20,0.018,-0.19,0.28,0.22,10000,780
QQQ,2026-04-01,10,put,438,1.64,1.68,1.66,-0.26,0.023,-0.25,0.34,0.22,8500,640
QQQ,2026-04-01,10,put,440,2.04,2.08,2.06,-0.31,0.028,-0.30,0.39,0.22,7000,520
QQQ,2026-04-01,10,put,443,2.72,2.76,2.74,-0.37,0.033,-0.35,0.44,0.22,5500,410
QQQ,2026-04-01,10,put,445,3.36,3.44,3.40,-0.42,0.038,-0.40,0.49,0.22,4500,340
QQQ,2026-04-01,10,put,448,4.32,4.40,4.36,-0.48,0.043,-0.45,0.53,0.22,4000,300
QQQ,2026-04-01,10,call,448,4.45,4.55,4.50,0.52,0.044,-0.46,0.54,0.21,38000,5800
QQQ,2026-04-01,10,call,450,3.98,4.06,4.02,0.48,0.040,-0.42,0.50,0.21,35000,5200
QQQ,2026-04-01,10,call,453,3.28,3.36,3.32,0.42,0.036,-0.37,0.46,0.21,32000,4600
QQQ,2026-04-01,10,call,455,2.74,2.82,2.78,0.37,0.032,-0.33,0.41,0.20,45000,6900
QQQ,2026-04-01,10,call,458,2.10,2.18,2.14,0.31,0.027,-0.28,0.36,0.20,40000,6100
QQQ,2026-04-01,10,call,460,1.60,1.68,1.64,0.26,0.023,-0.24,0.31,0.20,36000,5400
QQQ,2026-04-01,10,call,463,1.14,1.22,1.18,0.20,0.018,-0.19,0.25,0.20,30000,4400
QQQ,2026-04-01,10,call,465,0.80,0.88,0.84,0.16,0.014,-0.15,0.20,0.20,24000,3500
QQQ,2026-04-01,10,call,468,0.52,0.60,0.56,0.11,0.010,-0.11,0.15,0.19,18000,2600
QQQ,2026-04-01,10,call,470,0.34,0.42,0.38,0.08,0.007,-0.08,0.11,0.19,13000,1800
